ID;H1;H2;H3;H4_1;H4_2;H4_3;H4_4;H4_5;H4_6;H4_7;H4_8;H5_1;H5_2;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16_1;H16_2;H16_3;H16_4;H16_5;H17_1;H17_2;H18_1;H18_2;H18_3;H18_4;H18_5;H18_6;H19_1;H19_2;H19_3;H19_4;H19_5;H20_1;H20_2;H20_3;H20_4;H20_5;H20_6;H20_7;H20_8;H21_1;H21_2;H21_3;H21_4;H21_5;H21_6;H21_7;H21_8;H21_9;H21_10;H21_11;H21_12;H22_1;H22_2;H22_3;H22_4;H22_5;H22_6;H22_7;H22_8;H22_9;H22_10;H22_11;H22_12;H22_13;H22_14;H22_15;H22_16;H23_1;H23_2;H23_3;H23_4;H23_5;H23_6;H24;H25;H26;H27;H28;H29;H30;H31;H32;H33;H34;H35;H36;H37;H38;H39;H40;H41;H42;H43;H44;H45;H46;H47;H48;H49;H50;H51;H52;H53;H54;H55;H56;H57;H58;H59;H60;H61;H62;H63;H64;H65;H66;H67;H68;H69;H70;H71;H72;H73;H74;H75;H76;H77;H78;H79;H80;H81;H82;H83;H84;H85
1;19237;19237;2;0,090555;0,051151;0,0629;0,157457;0,14129;0,11691;0,179082;0,200655;0,473;0,527;0,143;0,178;0,653;0,169;53,1;95,1;25,9;0,0199;-55;3;0,31;0,04;0,52;0,08;0,06;0,33;0,67;0,19;0,24;0,25;0,21;0,09;0,02;0,12;0,18;0,42;0,28;0;0,46;0,03;0,1;0,21;0,15;0,03;0,03;0;0,04;0,14;0,07;0,16;0,03;0,03;0,21;0,15;0,1;0,05;0;0,02;0,06;0,01;0;0,03;0,04;0,04;0,07;0,07;0,04;0,04;0,11;0,12;0,07;0,29;0;0,01;0,02;0,13;0,75;0,09;0;0,02;978,49;0,64;0,66;0,49;0,23;896,46;2646,06;2468,49;905,47;546,07;0;1;2;2;2;;2;6;11,05;2;254;2;6700;2;0;2;60;1;niemiecki;2;1;1;1;2;0;2;2;5;0;14;10;0;0;9997;1;2;0;0;0;0;0;0;0;0;0;0;1;3;Dla pracowników samorz¹du, dla firm i bezrobotnych;0;0;
2;756183;756183;2;0,088054;0,03908;0,050414;0,162519;0,173908;0,119266;0,145703;0,221056;0,4673;0,5327;0,047;0,155;0,652;0,194;53,4;125,3;29,7;0,0441;110;306;0,33;0,08;0,36;0,1;0,13;0,33;0,67;0,39;0,3;0,2;0,08;0,02;0,01;0,06;0,19;0,35;0,39;0,01;0,55;0,08;0,03;0,21;0,1;0,02;0,01;0,01;0,09;0,18;0,07;0,21;0,03;0;0,21;0,1;0,03;0,02;0,01;0,05;0,04;0,03;0,02;0,03;0,05;0,06;0,05;0,05;0,04;0,06;0,08;0,09;0,15;0,23;0;0;0,02;0,19;0,55;0,2;0,01;0,03;1107,54;0,42;0,64;0,36;0,18;749,33;4479,95;4453,06;1209,7;530,17;99997;1;2;2;2;;2;88;13,31;71;278;77;1478463;40;0;3;55;2;;7;2;2;0;0;1;1;0;72;14;86;0;6;4;19;1;1;1;3;1;1;0;0;0;0;0;0;1;9997;Regularna nauka jezyka;0;0;
3;51605;51605;2;0,082143;0,043697;0,059878;0,154927;0,124639;0,121984;0,174886;0,237845;0,475;0,525;0,173;0,16;0,634;0,207;57,9;129,6;32,7;0,0289;-202;-6;0,24;0,04;0,56;0,07;0,09;0,38;0,62;0,16;0,27;0,29;0,18;0,05;0,05;0,2;0,36;0,31;0,13;0;0,33;0,07;0,14;0,31;0,11;0,02;0;0,02;0,03;0,06;0,01;0,22;0,07;0;0,31;0,11;0,14;0,02;0,02;0,02;0,01;0,01;0,02;0,04;0,08;0,1;0,07;0,1;0,11;0,11;0,09;0,09;0,05;0,08;0;0,02;0,04;0,31;0,56;0,08;0;0;1026,36;0,28;0,42;0,23;0,29;788,8;2752,65;3157,3;770,43;595,4;0;1;2;2;2;;2;7;12,16;7;146;3;12042;1;0;1;3;2;;10;1;1;0;0;0;0;0;22;0;47;2;1;0;9997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
4;16254;26206;5;0,084102;0,045835;0,059308;0,158853;0,148087;0,127661;0,163775;0,212378;0,48;0,52;0,186;0,164;0,66;0,176;51,5;106,8;26,6;0,0298;-1;-7;0,28;0,1;0,4;0,09;0,13;0,4;0,6;0,16;0,37;0,25;0,21;0;0;0,16;0,21;0,38;0,25;0;0,43;0,01;0,04;0,31;0,16;0,05;0;0;0,02;0,19;0,07;0,13;0,03;0;0,31;0,16;0,04;0,05;0;0,01;0;0;0;0,01;0,03;0,09;0,01;0,03;0,03;0,08;0,14;0,1;0,22;0,26;0;0,01;0,01;0,11;0,41;0,43;0,01;0,02;1115,73;0,59;0,55;0,19;0,5;482,73;2397,2;2561,5;1058,75;398,37;0;1;2;2;2;;2;4;11,32;1;144;1;68466;0;0;4;36;2;;1;1;2;0;0;1;0;0;3;0;8;0;0;0;9997;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
5;5052;13896;5;0,075416;0,056611;0,059382;0,159937;0,145487;0,117973;0,174584;0,21061;0,525732;0,474268;0,194;0,167;0,653;0,18;53,1;108,1;27,6;0,0298;-50;3;0,32;0,03;0,33;0,18;0,14;0,3;0,7;0,21;0,42;0,2;0,14;0,03;0;0,05;0,22;0,45;0,29;0;0,48;0,2;0,02;0,14;0,15;0;0;0;0;0,11;0,03;0,48;0,08;0;0,14;0,15;0,02;0;0;0;0;0;0;0;0,11;0,1;0;0,1;0,01;0,24;0,05;0,1;0,11;0,18;0;0;0;0,49;0,41;0,1;0;0;1115,73;0,4;0,67;0,5;0,31;458,5;2409,17;2410,3;969,3;447,3;0;1;2;2;2;;2;1;9,22;1;89;1;8310;0;0;4;19;2;;5;4;0;0;0;2;0;0;1;0;2;0;0;1;9998;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
6;9557;9557;2;0,102752;0,048237;0,06163;0,17359;0,118447;0,118029;0,177671;0,199644;0,494;0,506;0,122;0,187;0,649;0,164;54,1;88;25,3;0,0179;-99;-2;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;978,49;997;997;997;997;647,5;2357,5;2978,59;1246,89;440,78;0;2;2;2;2;;2;2;19,97;2;249;1;1562;2;0;4;79;2;;1;1;0;1;0;0;0;0;4;0;11;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
7;142950;142950;2;0,097377;0,048982;0,059531;0,157643;0,150773;0,134159;0,158692;0,192844;0,486;0,514;0,085;0,181;0,653;0,167;53,2;92,3;25,5;0,0543;-237;-168;0,26;0,08;0,45;0,11;0,1;0,34;0,66;0,23;0,27;0,22;0,17;0,05;0,05;0,31;0,49;0,16;0,03;0;0,35;0,05;0,11;0,27;0,11;0,1;0;0,01;0;0,04;0,01;0,24;0,07;0;0,27;0,11;0,11;0,11;0,01;0,03;0,01;0,02;0,03;0,05;0,08;0,08;0,07;0,09;0,07;0,13;0,14;0,11;0,04;0,07;0;0,01;0,04;0,39;0,53;0,03;0;0,01;1168,42;0,15;0,36;0,24;0,16;537,32;3345,17;3371,95;1153,24;592,83;0;1;2;2;2;;2;16;18,21;14;124;5;40176;2;1;3;12;2;;9;0;0;0;0;11;9;0;12;0;134;0;0;0;9997;1;2;0;0;0;0;0;0;0;0;0;0;1;2; 6 grup zajêciowych - zró¿nicowanie poziomy.;0;0;
8;205312;205312;2;0,090794;0,042862;0,05741;0,170521;0,165309;0,116394;0,155972;0,200738;0,463;0,537;0,082;0,166;0,664;0,171;50,6;103;25,7;0,0306;-601;-41;0,3;0,04;0,5;0,07;0,09;0,34;0,66;0,23;0,36;0,25;0,13;0,03;0,01;0,11;0,3;0,39;0,2;0;0,52;0,04;0,04;0,22;0,14;0,03;0,01;0,01;0,05;0,16;0,06;0,23;0,04;0;0,22;0,14;0,04;0,04;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,06;0,06;0,06;0,07;0,09;0,1;0,2;0,13;0,16;0;0,01;0,03;0,17;0,58;0,17;0,01;0,04;1158,49;0,46;0,65;0,72;0,17;448,25;3612,37;4029,03;1317,11;485,91;0;1;2;2;2;;2;29;14,12;16;148;10;215537;10;0;3;20;2;;20;0;10;1;0;3;0;0;42;1;51;50;3;0;9997;0;2;0;0;0;0;0;0;0;0;1;4;1;4;Jêzyk angielski dla osób, które uczy³y sie kiedyœ i chca poznaæ lepiej jêzyk.;1;10;Szkolenie dla wolontariuszy.
9;22239;22239;2;0,094294;0,057916;0,072485;0,179954;0,143667;0,137641;0,155358;0,158685;0,483;0,517;0,231;0,193;0,673;0,134;48,7;69,6;20;0,0226;-78;-17;0,22;0,03;0,56;0,09;0,09;0,45;0,55;0,2;0,3;0,2;0,19;0,08;0,04;0,19;0,31;0,3;0,2;0;0,42;0,04;0,09;0,26;0,12;0,03;0,02;0;0,03;0,1;0,06;0,2;0,07;0;0,26;0,12;0,09;0,05;0;0;0;0;0,01;0,02;0,05;0,07;0,05;0,07;0;0,06;0,19;0,1;0,07;0,3;0;0,01;0;0,19;0,46;0,19;0,01;0,15;1103,2;0,6;0,74;0,39;0,3;593,88;2622,14;2778,48;1040,96;504,48;0;2;2;2;2;;2;3;10,54;1;136;1;6216;0;0;2;10;2;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
10;31025;31025;2;0,095794;0,047768;0,05444;0,143916;0,170959;0,117035;0,145302;0,224786;0,48;0,52;0,114;0,175;0,639;0,186;56,5;106,5;29,2;0,0254;75;-11;0,32;0,09;0,32;0,17;0,09;0,43;0,57;0,45;0,25;0,16;0,11;0,03;0;0,13;0,54;0,21;0,11;0,01;0,57;0,03;0,02;0,2;0,1;0,07;0;0;0,01;0,07;0,05;0,18;0,02;0;0,2;0,1;0,02;0,07;0;0,27;0,01;0;0,01;0,03;0,08;0,09;0,11;0,08;0,04;0,09;0,09;0,15;0,15;0,07;0;0,01;0,07;0,26;0,59;0,07;0;0;1239,2;0,36;0,38;0,28;0,19;444,16;2655,33;2859,17;721,96;360,88;0;1;1;1;2;;2;3;13,75;3;221;3;14412;0;0;1;36;2;;2;3;12;0;1;0;0;0;8;0;11;0;0;0;9997;0;2;1;2;0;0;1;1;0;0;0;0;0;0;;0;0;
11;11232;25859;4;0,112379;0,053366;0,059012;0,176109;0,17754;0,127344;0,163425;0,130825;0,487567;0,512433;0,035;0,2;0,698;0,103;43,3;51,3;14,7;0,0223;228;-7;0,28;0,02;0,58;0,07;0,05;0,37;0,63;0,15;0,18;0,3;0,25;0,07;0,05;0,19;0,51;0,25;0,05;0;0,45;0,06;0,04;0,23;0,12;0,07;0,01;0,02;0,01;0,02;0,05;0,32;0,07;0,03;0,23;0,12;0,04;0,09;0,02;0;0;0;0;0;0,02;0;0,01;0,03;0,01;0,1;0,19;0,2;0,08;0,36;0;0;0;0,13;0,61;0,22;0;0,04;1125,74;0,69;0,51;0,07;0,49;179,4;2838,11;2774,76;885,53;275,16;0;1;1;1;2;;2;3;11,13;4;129;4;2570;0;0;3;20;2;;2;0;1;1;0;0;0;1;2;0;12;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
12;116914;116914;2;0,090819;0,047342;0,059539;0,146347;0,15573;0,124724;0,166652;0,208846;0,529;0,471;0,195;0,173;0,652;0,175;53,4;101,3;26,9;0,0266;-411;55;0,24;0,05;0,53;0,08;0,1;0,35;0,65;0,18;0,27;0,24;0,22;0,07;0,03;0,16;0,39;0,29;0,16;0;0,45;0,05;0,1;0,25;0,09;0,04;0,01;0,01;0,04;0,1;0,03;0,27;0,05;0;0,25;0,09;0,1;0,06;0,01;0,01;0,01;0,01;0,01;0,06;0,07;0,09;0,07;0,07;0,06;0,12;0,13;0,14;0,1;0,04;0;0,01;0,04;0,18;0,68;0,08;0;0,01;1158,49;0,37;0,56;0,66;0,16;612,01;3934,24;4397,29;1490,16;742,12;0;2;2;2;2;;2;17;10,77;14;166;6;26234;7;0;1;40;2;;4;2;1;0;0;2;0;0;17;0;21;0;2;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
13;18318;18318;2;0,095371;0,051971;0,063544;0,1629;0,137624;0,125833;0,168086;0,194672;0,473;0,527;0,183;0,184;0,65;0,166;53,9;90,3;25,6;0,0199;-65;2;0,26;0,04;0,55;0,09;0,06;0,25;0,75;0,05;0,22;0,24;0,25;0,2;0,03;0,15;0,32;0,31;0,21;0,01;0,34;0,08;0,16;0,2;0,15;0,05;0,01;0,02;0,04;0,09;0,02;0,22;0,02;0,01;0,2;0,15;0,16;0,06;0,02;0;0,05;0;0,02;0,01;0,04;0,04;0,01;0,03;0,04;0,03;0,1;0,04;0,05;0,49;0;0,05;0,02;0,27;0,64;0,06;0;0,01;978,49;0,45;0,61;0,35;0,39;416,82;2110,85;2480,49;1141,06;450,88;0;2;2;2;2;;2;6;9,9;5;238;4;22816;2;0;2;37;2;;1;5;8;2;0;2;0;0;6;0;11;3;0;0;9997;0;1;0;0;1;5;0;0;1;2;1;2;1;8;Angielski od podstaw, œredniozaawansowany, angielski specjalistyczny dla kadry hotelarskiej, kasjerow i pracowników lotniska.;0;0;
14;12454;27053;3;0,113148;0,056186;0,061657;0,160019;0,167597;0,126308;0,147451;0,167634;0,485344;0,514656;0,035;0,206;0,655;0,139;52,6;67,1;21,1;0,0223;270;-5;0,31;0,01;0,51;0,09;0,08;0,32;0,68;0,39;0,23;0,23;0,13;0,01;0,01;0,08;0,46;0,25;0,21;0;0,55;0,06;0,01;0,26;0,07;0,02;0,01;0,02;0,06;0,11;0,07;0,31;0,03;0;0,26;0,07;0,01;0,03;0,02;0,02;0,03;0,02;0,05;0,08;0,13;0,08;0,08;0,1;0,03;0,08;0,03;0,04;0,03;0,21;0;0;0;0,1;0,54;0,25;0,01;0,09;1125,74;0,5;0,39;0,08;0,3;371,69;2462,7;2962,54;928,6;302,44;0;1;2;2;2;;2;6;7,08;6;171;1;9000;0;0;2;75;2;;5;0;2;2;0;0;0;0;5;0;11;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
15;2220;9545;4;0,144893;0,076689;0,085071;0,166265;0,140911;0,127292;0,099843;0,159036;0,4985;0,5015;0,172;0,27;0,591;0,138;69,1;51,2;23,4;0,0274;-10;2;0,38;0;0,57;0;0,05;0,39;0,61;0,06;0,27;0,17;0,17;0,16;0,17;0,43;0,57;0;0;0;0,44;0,06;0,05;0,22;0,16;0,07;0;0;0;0;0,06;0,16;0,06;0,22;0,22;0,16;0,05;0,07;0;0;0;0;0;0;0;0,05;0;0,06;0;0,16;0,11;0,28;0,33;0;0;0;0,05;0,66;0,28;0;0;0;1107,54;0,72;0,33;0,06;0,95;1222,34;3458,9;3525,38;1182,63;686,12;0;2;2;2;2;;2;2;11,28;2;112;1;7650;0;0;1;40;2;;1;0;0;2;1;3;3;0;0;1;0;11;0;0;9997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
16;34022;34022;2;0,084347;0,039301;0,052028;0,144919;0,14327;0,121085;0,175913;0,239136;0,463;0,537;0,223;0,153;0,641;0,206;56,1;134,2;32,1;0,0357;-122;-5;0,34;0,14;0,36;0,09;0,07;0,31;0,69;0,2;0,33;0,22;0,13;0,05;0,07;0,35;0,38;0,21;0,06;0;0,32;0,07;0,24;0,25;0,06;0,04;0,01;0,01;0,02;0,04;0,01;0,21;0,06;0,01;0,25;0,06;0,24;0,05;0,01;0,03;0,01;0,01;0,02;0,05;0,08;0,07;0,09;0,08;0,08;0,15;0,15;0,08;0,06;0,05;0;0,01;0,08;0,34;0,54;0,04;0;0;1239,2;0,19;0,46;0,19;0,29;665,38;2645,83;2761,61;748;439,3;0;1;1;1;2;;2;4;17,59;3;236;1;66231;1;0;2;56;2;;2;1;1;3;0;1;0;0;9;0;10;0;0;0;9997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
17;189500;189500;2;0,086925;0,045095;0,0557;0,15139;0,154573;0,13404;0,153725;0,218553;0,4826;0,5174;0,181;0,164;0,645;0,191;55,2;116,7;29,7;0,0354;-725;-144;0,23;0,12;0,42;0,1;0,13;0,4;0,6;0,23;0,31;0,24;0,15;0,05;0,03;0,22;0,49;0,21;0,08;0;0,36;0,05;0,14;0,26;0,09;0,09;0,01;0,01;0,01;0,06;0,01;0,23;0,07;0;0,26;0,09;0,14;0,09;0,01;0,02;0,02;0,02;0,03;0,04;0,06;0,07;0,06;0,06;0,08;0,13;0,13;0,12;0,1;0,07;0;0,01;0,06;0,33;0,57;0,04;0;0;1168,42;0,24;0,42;0,26;0,21;734,42;3365,78;3476,31;1137,54;644,69;0;1;2;2;2;;2;17;14,46;12;81;4;33059;4;0;3;9;2;;23;12;4;0;0;5;0;0;15;1;197;0;0;0;9997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
18;6147;11932;5;0,088824;0,052709;0,06312;0,161705;0,142509;0,167236;0,139906;0,183992;0,488;0,512;0,109;0,177;0,661;0,162;51,3;91,4;24,5;0,0296;46;-21;0,33;0;0,43;0,1;0,14;0,29;0,71;0,38;0,05;0,13;0,28;0,15;0;0,27;0,32;0,27;0,14;0;0,49;0,06;0;0,19;0,19;0;0;0,08;0;0,16;0;0,26;0,12;0;0,19;0,19;0;0;0,08;0;0;0;0;0;0,09;0,11;0,13;0,11;0;0,18;0;0;0,16;0,22;0;0;0;0,28;0,5;0,22;0;0;1115,73;0,55;0,45;0,25;0,53;441,23;3934,18;4267,07;1312,79;587,62;0;1;2;2;2;;2;1;15,13;6;228;1;105;0;0;3;43;1;niemiecki;0;8;8;0;0;2;0;0;0;0;2;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
19;388;11894;4;0,124517;0,072642;0,084917;0,174121;0,152009;0,127459;0,126703;0,137632;0,497898;0,502102;0,265;0,247;0,634;0,118;57,7;47,8;18,7;0,021973;64;0;0,22;0;0,64;0,02;0,12;0,39;0,61;0,05;0,38;0,21;0,34;0;0,02;0,29;0,38;0,25;0,07;0;0,27;0,2;0,16;0,28;0,07;0;0;0,03;0,02;0;0;0,35;0,1;0;0,28;0,07;0,16;0;0,03;0;0,02;0,05;0;0,06;0,03;0,07;0,07;0,04;0,18;0,11;0,12;0,22;0,02;0;0;0;0,05;0,2;0,72;0,03;0;0;1601,97;0,53;0,29;0;0,29;591,17;2429,57;2822,2;992,89;483,58;0;2;2;2;2;;2;1;25,13;4;114;4;160;0;0;1;10;2;;0;0;0;2;0;2;0;1;0;0;0;10;0;0;9997;1;1;0;0;0;0;0;0;0;0;0;0;1;2;Lekcje jêzyka angielskiego dofinansowanie z polsko amerykanskiej  fundacji wolnoœci reprezentowanej w polsce przez stworzyszenie NIDA. Projekt klasy 4-6 + nauczyciele jêzyka angielskiego dofinansowanie z tej samej fundacji.;0;0;
20;116914;116914;2;0,090819;0,047342;0,059539;0,146347;0,15573;0,124724;0,166652;0,208846;0,529;0,471;0,195;0,173;0,652;0,175;53,4;101,3;26,9;0,0266;-411;55;0,24;0,05;0,53;0,08;0,1;0,35;0,65;0,18;0,27;0,24;0,22;0,07;0,03;0,16;0,39;0,29;0,16;0;0,45;0,05;0,1;0,25;0,09;0,04;0,01;0,01;0,04;0,1;0,03;0,27;0,05;0;0,25;0,09;0,1;0,06;0,01;0,01;0,01;0,01;0,01;0,06;0,07;0,09;0,07;0,07;0,06;0,12;0,13;0,14;0,1;0,04;0;0,01;0,04;0,18;0,68;0,08;0;0,01;1158,49;0,37;0,56;0,66;0,16;612,01;3934,24;4397,29;1490,16;742,12;0;2;2;2;2;;2;17;10,77;14;166;6;26234;7;0;3;20;2;;4;2;1;0;0;2;0;0;17;0;17;0;2;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
21;292732;292732;2;0,083117;0,040018;0,054346;0,154401;0,153975;0,117992;0,134659;0,261492;0,467;0,533;0,123;0,169;0,665;0,167;50,5;98,7;21,2;0,0198;-188;165;0,31;0,04;0,48;0,08;0,09;0,34;0,66;0,28;0,31;0,2;0,16;0,04;0,01;0,09;0,13;0,35;0,42;0,01;0,54;0,05;0,04;0,21;0,13;0,02;0;0,02;0,11;0,15;0,06;0,17;0,03;0;0,21;0,13;0,04;0,03;0,02;0,06;0,04;0,01;0,02;0,02;0,04;0,05;0,04;0,05;0,04;0,08;0,13;0,15;0,16;0,16;0;0,01;0,02;0,11;0,56;0,23;0,01;0,07;1103,2;0,51;0,65;0,62;0,11;363,31;4263,21;4780,09;1468,31;605,63;99997;1;1;1;2;;1;37;13,37;17;152;16;317167;11;0;3;21;2;;0;9997;40;0;0;10;0;9997;19;1;173;9997;4;2;2;0;2;0;0;0;0;1;2;0;0;0;0;0;0;;0;0;
22;20262;27938;3;0,102692;0,053977;0,06697;0,177178;0,143425;0,128749;0,151621;0,175388;0,486864;0,513136;0,125;0,194;0,657;0,15;52,3;77,2;22,8;0,0223;-83;-9;0,18;0,05;0,69;0,04;0,05;0,41;0,59;0,05;0,35;0,22;0,26;0,1;0,02;0,1;0,37;0,43;0,1;0;0,58;0,03;0,06;0,24;0,08;0,02;0;0;0,01;0,16;0,09;0,28;0,07;0;0,24;0,08;0,06;0,02;0;0;0;0,01;0,01;0;0,04;0,02;0,03;0,05;0,01;0,09;0,19;0,21;0,33;0,01;0;0;0,02;0,1;0,84;0,04;0;0;1125,74;0,72;0,65;0,69;0,21;525,12;2633,29;2500,83;890,26;482,14;0;1;2;2;2;;2;2;16,84;4;196;16;52681;0;1;1;30;2;;0;0;1;2;0;2;0;0;4;0;14;10;0;0;9997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
